track_id,album comments,album date_created,album date_released,album favorites,album id,album listens,album title,album tracks,album type,artist date_created,artist favorites,artist id,artist location,track bit_rate,track duration,track genre_top,track title
2,0,2008-11-26 01:44:45,2009-01-05 00:00:00,4,1,6073,AWOL - A Way Of Life,7,Album,2008-11-26 01:42:32,9,1,New Jersey,256000,168,Hip-Hop,Food
3,0,2008-11-26 01:44:45,2009-01-05 00:00:00,4,1,6073,AWOL - A Way Of Life,7,Album,2008-11-26 01:42:32,9,1,New Jersey,256000,237,Hip-Hop,Electric Ave
5,0,2008-11-26 01:44:45,2009-01-05 00:00:00,4,1,6073,AWOL - A Way Of Life,7,Album,2008-11-26 01:42:32,9,1,New Jersey,256000,206,Hip-Hop,This World
10,0,2008-11-26 01:45:08,2008-02-06 00:00:00,4,6,47632,Constant Hitmaker,2,Album,2008-11-26 01:42:55,74,6,,192000,161,Pop,Freeway
20,0,2008-11-26 01:45:05,2009-01-06 00:00:00,2,4,2710,Niris,13,Album,2008-11-26 01:42:52,10,4,Colchester England,256000,311,,Spiritual Level
26,0,2008-11-26 01:45:05,2009-01-06 00:00:00,2,4,2710,Niris,13,Album,2008-11-26 01:42:52,10,4,Colchester England,256000,181,,Where is your Love?
30,0,2008-11-26 01:45:05,2009-01-06 00:00:00,2,4,2710,Niris,13,Album,2008-11-26 01:42:52,10,4,Colchester England,256000,174,,Too Happy
46,0,2008-11-26 01:45:05,2009-01-06 00:00:00,2,4,2710,Niris,13,Album,2008-11-26 01:42:52,10,4,Colchester England,256000,104,,Yosemite
48,0,2008-11-26 01:45:05,2009-01-06 00:00:00,2,4,2710,Niris,13,Album,2008-11-26 01:42:52,10,4,Colchester England,256000,205,,Light of Light
134,0,2008-11-26 01:44:45,2009-01-05 00:00:00,4,1,6073,AWOL - A Way Of Life,7,Album,2008-11-26 01:42:32,9,1,New Jersey,256000,207,Hip-Hop,Street Music
135,1,2008-11-26 01:49:19,2009-01-07 00:00:00,0,58,3331,mp3,4,Single Tracks,2008-11-26 01:47:07,0,52,,256000,837,Rock,Father's Day
136,1,2008-11-26 01:49:19,2009-01-07 00:00:00,0,58,3331,mp3,4,Single Tracks,2008-11-26 01:47:07,0,52,,256000,509,Rock,Peel Back The Mountain Sky
137,1,2008-11-26 01:49:35,2006-12-01 00:00:00,2,59,1681,Live at LACE,2,Live Performance,2008-11-26 01:47:22,5,53,Los Angeles CA,256000,1233,Experimental,Side A
138,1,2008-11-26 01:49:35,2006-12-01 00:00:00,2,59,1681,Live at LACE,2,Live Performance,2008-11-26 01:47:22,5,53,Los Angeles CA,256000,1231,Experimental,Side B
139,0,2008-11-26 01:49:57,2009-01-16 00:00:00,1,60,1304,Every Man For Himself,2,Album,2008-11-26 01:47:44,11,54,Providence RI,128000,296,Folk,CandyAss
140,1,2008-11-26 01:49:59,2007-05-22 00:00:00,1,61,1300,The Blind Spot,1,Album,2008-11-26 01:47:44,11,54,Providence RI,128000,253,Folk,Queen Of The Wires
141,0,2008-11-26 01:49:57,2009-01-16 00:00:00,1,60,1304,Every Man For Himself,2,Album,2008-11-26 01:47:44,11,54,Providence RI,128000,182,Folk,Ohio
142,0,2008-11-26 01:50:03,2005-01-25 00:00:00,1,62,845,The Quiet Room,1,Album,2008-11-26 01:47:44,11,54,Providence RI,128000,470,Folk,Punjabi Watery Grave
144,0,2008-11-26 01:50:07,2009-01-06 00:00:00,0,64,2014,Amoebiasis,0,Album,2008-11-26 01:47:54,7,56,Providence RI,256000,82,Jazz,Wire Up
145,0,2008-11-26 01:50:07,2009-01-06 00:00:00,0,64,2014,Amoebiasis,0,Album,2008-11-26 01:47:54,7,56,Providence RI,256000,326,Jazz,Amoebiasis
146,0,2008-11-26 01:50:13,1995-01-01 00:00:00,1,65,1446,Limbic Rage,0,Album,2008-11-26 01:47:54,7,56,Providence RI,256000,354,Jazz,Gimme a Buck or I'll Touch You / Boilermaker
147,0,2008-11-26 01:50:13,1995-01-01 00:00:00,1,65,1446,Limbic Rage,0,Album,2008-11-26 01:47:54,7,56,Providence RI,256000,232,Jazz,Repetitive Motion Sickness
148,0,2008-11-26 01:50:19,2009-01-15 00:00:00,0,66,1831,Contradiction,1,Album,2008-11-26 01:48:05,0,57,Chicago IL,256000,138,Experimental,Blackout 2
149,0,2008-11-26 01:50:25,2009-01-09 00:00:00,0,67,858,Two Gong/Wire Pieces,2,Album,2008-11-26 01:48:10,1,58,Baltimore MD,287639,988,Experimental,Outside the window bees buzzed...
150,0,2008-11-26 01:50:25,2009-01-09 00:00:00,0,67,858,Two Gong/Wire Pieces,2,Album,2008-11-26 01:48:10,1,58,Baltimore MD,282817,1182,Experimental,... listening to the sunshine burn the grass
151,0,2008-11-26 01:50:46,2009-01-06 00:00:00,0,68,244,Make Them Suffer,2,Album,2008-11-26 01:48:32,0,59,Portland OR,192000,192,Rock,Untitled 04
152,0,2008-11-26 01:50:46,2009-01-06 00:00:00,0,68,244,Make Them Suffer,2,Album,2008-11-26 01:48:32,0,59,Portland OR,192000,193,Rock,Untitled 11
153,0,2008-11-26 01:50:50,2005-06-07 00:00:00,0,69,628,Arc and Sender,2,Album,2008-11-26 01:48:36,0,60,Philadelphia PA,256000,405,Rock,Hundred-Year Flood
154,0,2008-11-26 01:50:50,2005-06-07 00:00:00,0,69,628,Arc and Sender,2,Album,2008-11-26 01:48:36,0,60,Philadelphia PA,256000,319,Rock,Squares And Circles
155,0,2008-11-26 01:51:00,2009-01-06 00:00:00,0,70,197,unreleased demo,1,Single Tracks,2008-11-26 01:48:36,0,60,Philadelphia PA,192000,756,Rock,Maps of the Stars Homes
